Product Name,Sales,Order Date
"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",45.92,12/24/2012
Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,71.98,12/20/2011
Xerox 225,45.36,12/26/2013
Xerox 230,45.36,3/14/2014
Xerox 204,45.36,12/9/2013
Xerox 1905,45.36,12/2/2014
Xerox 1894,45.36,10/10/2012
"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",46.35,6/17/2013
SanDisk Cruzer 64 GB USB Flash Drive,72.64,12/19/2013
SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,199.95,4/12/2014
Aluminum Document Frame,73.32,6/2/2011
"Executive Impressions 14"" Contract Wall Clock",66.69,11/8/2012
Fellowes Superior 10 Outlet Split Surge Protector,76.12,8/8/2011
Kensington 6 Outlet Guardian Standard Surge Protector,81.92,2/27/2014
Fellowes Advanced Computer Series Surge Protectors,79.47,12/3/2014
Luxo Economy Swing Arm Lamp,79.76,11/24/2012
12-1/2 Diameter Round Wall Clock,111.89,5/1/2013
Bevis 36 x 72 Conference Tables,896.33,12/10/2014
Enermax Briskie RF Wireless Keyboard and Mouse Combo,62.31,6/30/2014
Xerox 1898,46.76,6/21/2013
"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",60.05,9/26/2013
Hon Olson Stacker Stools,225.3,5/26/2011
Satellite Sectional Post Binders,69.46,12/3/2014
Staples,83.79,8/14/2014
Space Solutions Commercial Steel Shelving,452.55,11/3/2014
Sony 64GB Class 10 Micro SDHC R40 Memory Card,107.97,11/27/2012
Pyle PRT45 Retro HomeÂ Telephone,201.57,6/23/2012
Adtran 1202752G1,302.38,10/29/2013
AT&T TR1909W,302.38,12/12/2013
Adtran 1202752G1,302.38,12/30/2014
Adtran 1202752G1,302.38,1/1/2014
"Tenex V2T-RE Standard Weight Series Chair Mat, 45"" x 53"", Lip 25"" x 12""",141.96,11/19/2012
"Wilson Jones Clip & Carry Folder Binder Tool for Ring Binders, Clear",64.96,12/15/2014
Jabra BIZ 2300 Duo QD Duo CordedÂ Headset,304.78,11/16/2012
Deflect-O Glasstique Clear Desk Accessories,69.3,7/26/2013
Holmes HEPA Air Purifier,65.34,12/11/2013
Eldon Portable Mobile Manager,84.84,11/7/2013
"Global Deluxe Stacking Chair, Gray",203.92,2/9/2012
"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",65.57,12/11/2014
SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,176.8,8/26/2011
Xerox 1911,47.9,12/24/2013
Bevis Steel Folding Chairs,230.28,4/26/2011
Bevis Steel Folding Chairs,230.28,8/28/2014
Bevis Steel Folding Chairs,230.28,12/27/2011
Staples,49.12,2/21/2012
Samsung Rugby III,263.96,9/26/2012
"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",66.05,11/21/2012
"Wirebound Service Call Books, 5 1/2"" x 4""",48.4,5/26/2011
Xerox 1951,74.35,3/22/2011
Premium Transparent Presentation Covers by GBC,67.14,9/9/2013
Motorola Moto X,271.99,11/28/2013
Safco Contoured Stacking Chairs,381.44,11/23/2011
"Executive Impressions 10"" Spectator Wall Clock",70.56,12/29/2011
Polycom CX300 Desktop Phone USB VoIP phone,239.98,9/21/2011
Xerox 1895,53.82,11/22/2011
"Bush Westfield Collection Bookcases, Fully Assembled",257.5,4/18/2013
Tennsco Regal Shelving Units,811.28,11/17/2014
"Holmes Replacement Filter for HEPA Air Cleaner, Medium Room",56.65,9/8/2011
Xerox 1942,48.94,7/8/2013
Binding Machine Supplies,70.01,11/11/2013
Binding Machine Supplies,70.01,1/13/2012
"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",51.75,8/22/2014
Avery 473,51.75,8/4/2014
SAFCO Arco Folding Chair,220.96,5/16/2014
Imation Bio 8GB USBÂ Flash Drive ImationÂ Corp,166.24,3/28/2012
"Decoflex Hanging Personal Folder File, Blue",92.52,11/9/2011
BlackBerry Q10,403.17,3/25/2013
"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",90.8,3/14/2014
Southworth Structures Collection,50.96,10/29/2013
Tuf-Vin Binders,75.79,7/1/2014
Newell 334,99.2,7/21/2011
Bulldog Vacuum Base Pencil Sharpener,95.92,6/25/2014
"Personal Filing Tote with Lid, Black/Gray",93.06,10/29/2013
Home/Office Personal File Carts,104.28,5/19/2013
Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,209.79,9/29/2014
Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,11/7/2013
Southworth 25% Cotton Antique Laid Paper & Envelopes,58.38,5/31/2012
Panasonic KP-310 Heavy-Duty Electric Pencil Sharpener,87.92,10/16/2014
Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,59.98,7/4/2014
Logitech G13 Programmable Gameboard with LCD Display,239.97,1/29/2014
Alphabetical Labels for Top Tab Filing,71.04,6/26/2014
"Executive Impressions 13"" Chairman Wall Clock",76.14,4/19/2011
GBC Wire Binding Strips,76.18,10/14/2013
Global Deluxe Office Fabric Chairs,307.14,11/4/2014
"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White",79.92,10/8/2014
Google Nexus 5,431.98,12/7/2013
"Global Leather and Oak Executive Chair, Black",240.78,10/23/2012
Polycom SoundPoint IP 450 VoIP phone,361.38,11/16/2013
